id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_datetime
1709,2,0,1,5,0,0,0,126,1,0,0,0,131.47,1,0,2018-07-03
1710,2,0,1,3,0,0,0,190,1,0,0,0,105.3,0,1,2018-08-14
1711,2,0,0,1,1,0,0,207,1,0,0,0,98.1,0,1,2018-10-04
1712,2,0,2,1,0,0,1,61,1,0,0,0,96.9,2,0,2018-12-23
1713,2,0,1,4,0,0,1,92,0,0,0,0,90.95,0,0,2018-06-12
1714,2,0,0,1,0,0,1,1,1,0,0,0,166.0,2,0,2018-08-07
1715,2,0,2,3,0,0,0,83,0,0,0,0,75.0,0,0,2018-12-01
1716,2,0,0,3,0,0,1,199,1,0,0,0,102.85,0,0,2018-12-28
1717,2,0,1,1,1,0,0,197,1,0,0,0,85.5,1,0,2018-08-18
1718,1,0,0,1,0,0,0,5,2,1,0,6,66.0,1,0,2018-03-02
1719,1,0,0,3,0,0,0,271,0,0,0,0,85.67,0,0,2017-09-21
1720,1,0,0,2,2,0,0,0,0,0,0,0,101.5,0,0,2017-08-14
1721,3,0,0,3,0,0,1,128,1,0,0,0,177.3,2,0,2018-06-27
1722,2,0,2,1,0,1,0,104,1,0,0,0,107.1,1,0,2018-08-21
1723,2,0,1,3,0,0,0,48,0,0,0,0,112.0,0,0,2018-11-03
1724,2,0,2,0,0,0,0,275,0,0,0,0,110.0,0,0,2018-04-17
1725,3,0,2,1,0,0,0,71,1,0,0,0,105.4,0,0,2018-06-26
1726,3,0,1,1,0,0,1,118,1,0,0,0,137.7,0,0,2018-08-01
1727,2,0,1,3,0,0,1,109,1,0,0,0,97.75,2,0,2018-12-18
1728,3,0,2,4,0,0,1,202,1,0,0,0,127.22,2,1,2018-07-24
1729,1,0,1,2,0,0,0,133,0,0,0,0,76.0,0,0,2018-02-11
1730,2,0,2,2,0,0,0,127,1,0,0,0,114.75,1,0,2018-05-22
1731,2,0,2,2,2,0,0,145,0,0,0,0,94.5,0,0,2017-08-29
1732,2,0,0,3,0,0,0,148,0,0,0,0,67.0,0,0,2017-12-30
1733,2,1,1,3,0,0,0,122,1,0,0,0,106.25,1,0,2018-04-27
1734,1,0,0,3,0,0,0,128,1,0,0,0,80.75,1,0,2017-09-15
1735,2,0,0,1,0,0,0,193,1,0,0,0,86.5,0,1,2018-07-08
1736,2,0,2,2,0,0,1,81,1,0,0,0,140.4,0,1,2018-05-16
1737,2,0,2,5,0,0,0,95,0,0,0,0,87.04,0,0,2018-04-22
1738,2,0,1,1,1,0,0,145,1,0,0,0,94.5,0,1,2018-07-29
1739,1,0,0,3,0,0,6,0,4,0,0,0,0.0,0,0,2018-02-25
1740,2,0,2,5,0,0,0,131,0,0,0,0,94.5,0,0,2017-08-15
1741,2,0,0,3,0,0,0,160,1,0,0,0,90.0,0,1,2018-12-30
1742,2,0,0,4,0,0,0,335,0,0,0,0,90.0,1,0,2018-10-13
1743,2,0,2,1,0,0,0,101,0,0,0,0,61.5,0,0,2018-01-03
1744,2,0,0,2,2,0,0,320,0,0,0,0,90.0,1,0,2018-08-18
1745,1,0,3,6,0,0,0,7,1,0,0,0,62.37,0,0,2018-04-06
1746,2,0,2,2,0,0,0,119,1,0,0,0,131.4,1,0,2018-09-30
1747,3,0,1,2,0,0,1,82,1,0,0,0,107.1,0,1,2018-08-15
1748,2,2,1,2,0,0,3,6,1,0,0,0,176.33,0,0,2018-12-10
1749,1,0,0,1,0,0,0,1,0,0,0,0,120.0,0,0,2018-06-02
1750,2,0,2,3,0,0,0,106,1,0,0,0,82.45,0,0,2018-04-10
1751,2,0,0,2,0,0,0,215,1,0,0,0,96.3,1,1,2018-08-05
1752,1,0,0,1,0,0,0,0,2,1,0,4,65.0,1,0,2018-12-27
1753,3,0,0,2,0,0,1,114,1,0,0,0,137.7,0,1,2018-07-12
1754,3,0,0,3,0,0,1,66,1,0,0,0,119.0,0,1,2018-11-17
1755,2,0,0,3,0,0,0,129,0,0,0,0,80.75,0,0,2018-06-16
1756,2,0,2,5,0,0,0,187,0,0,0,0,72.76,0,0,2018-07-11
1757,1,0,1,2,0,0,1,9,1,0,0,0,109.23,1,0,2018-06-20
1758,2,0,1,2,2,1,0,4,1,0,0,0,179.0,1,0,2018-06-16
1759,1,0,1,2,0,0,0,6,0,0,0,0,85.0,0,0,2018-07-18
1760,2,0,1,4,0,0,1,152,1,0,0,0,99.45,0,0,2018-05-16
1761,2,0,1,0,0,0,0,0,2,1,0,3,75.0,0,0,2018-03-21
1762,2,0,2,3,0,0,0,86,0,0,0,0,80.75,1,0,2018-04-08
1763,3,0,0,2,0,0,4,47,0,0,0,0,119.0,0,0,2018-10-25
1764,2,0,2,0,0,0,0,179,1,0,0,0,104.4,3,0,2018-10-28
1765,3,0,0,4,0,0,1,32,1,0,0,0,168.3,0,0,2018-07-27
1766,1,0,0,3,1,0,0,209,1,0,0,0,98.1,0,0,2018-10-05
1767,2,0,0,4,0,0,0,154,0,0,0,0,75.0,0,1,2018-04-19
1768,2,0,0,2,0,0,0,195,1,0,0,0,90.9,2,1,2018-10-28
1769,2,0,2,2,0,0,0,87,1,0,0,0,58.9,1,0,2017-07-10
1770,2,0,2,2,0,0,1,79,1,0,0,0,120.6,0,1,2018-07-12
1771,2,0,3,5,0,0,1,146,1,0,0,0,91.98,0,0,2018-07-20
1772,1,0,0,3,0,0,0,14,0,0,0,0,100.0,0,0,2017-11-05
1773,3,0,1,2,0,0,0,150,0,0,0,0,96.9,0,0,2018-07-11
1774,2,0,2,6,1,0,0,106,1,0,0,0,86.06,0,1,2018-04-26
1775,2,0,2,1,2,0,0,5,0,0,0,0,94.5,0,0,2017-10-06
1776,3,0,2,3,0,0,5,29,1,0,0,0,279.2,1,1,2018-09-29
1777,2,0,2,3,0,0,0,265,1,0,0,0,100.3,1,0,2018-10-22
1778,2,0,2,1,0,0,0,54,0,0,0,0,95.0,1,1,2018-10-29
1779,2,0,0,3,0,0,0,71,0,0,0,0,59.5,0,0,2018-03-10
1780,2,0,1,4,0,0,1,126,1,0,0,0,99.45,0,1,2018-06-30
1781,1,0,0,1,0,0,0,114,0,0,0,0,75.0,0,1,2018-07-26
1782,2,0,2,1,0,0,0,99,1,0,0,0,89.25,0,1,2017-10-10
1783,2,0,1,5,0,0,0,77,1,0,0,0,69.84,1,0,2018-03-28
1784,2,0,1,2,0,0,1,11,1,0,0,0,154.0,0,1,2018-09-05
1785,2,0,0,3,0,0,0,192,0,0,0,0,80.0,0,0,2018-05-24
1786,2,0,2,1,0,0,0,76,1,0,0,0,207.9,1,1,2018-08-13
1787,2,0,2,0,2,0,0,75,0,0,0,0,105.0,0,0,2018-10-11
1788,1,0,4,6,0,0,0,8,1,0,0,0,98.5,2,0,2017-09-03
1789,2,0,2,3,0,0,0,359,1,0,0,0,39.0,2,1,2018-10-14
1790,2,0,0,2,2,0,0,256,0,0,0,0,115.0,0,0,2018-06-15
1791,3,0,0,3,0,0,1,55,1,0,0,0,150.3,0,0,2018-03-31
1792,3,0,2,3,0,0,1,56,1,0,0,0,133.2,0,0,2018-04-03
1793,3,0,1,3,0,0,1,34,1,0,0,0,135.45,1,0,2018-04-05
1794,2,0,1,3,0,0,0,197,1,0,0,0,106.2,2,1,2018-04-01
1795,1,0,1,4,0,0,0,113,1,0,0,0,105.3,0,1,2018-06-30
1796,3,0,1,4,0,0,0,64,1,0,0,0,150.45,2,0,2018-05-09
1797,2,0,0,2,2,0,0,103,1,0,0,0,115.0,0,1,2018-04-19
1798,1,0,1,3,0,0,0,0,0,0,0,0,106.4,0,1,2018-06-26
1799,2,0,1,1,0,0,1,18,1,0,0,0,184.0,2,0,2018-09-29
1800,2,2,2,5,0,1,3,213,1,0,0,0,167.95,2,1,2018-07-21
1801,2,0,2,1,0,0,0,111,0,0,0,0,96.67,0,0,2018-06-03
1802,2,0,0,4,0,0,0,245,0,0,0,0,95.0,1,0,2018-07-06
1803,2,0,2,3,0,0,1,60,0,0,0,0,60.0,0,0,2017-11-12
1804,2,0,1,2,0,0,1,95,1,0,0,0,132.6,1,1,2018-05-18
1805,2,0,3,5,1,0,0,120,1,0,0,0,89.74,0,1,2018-04-07
1806,1,0,0,2,0,0,0,64,2,0,0,0,130.0,0,0,2018-05-15
1807,1,0,0,4,2,0,0,74,0,0,0,0,80.0,0,0,2017-09-18
1808,2,0,1,2,0,0,0,230,1,0,0,0,137.0,0,1,2018-09-26
1809,2,0,2,3,0,0,0,303,0,0,0,0,78.0,1,0,2018-08-19
1810,2,1,0,2,0,0,0,95,1,0,0,0,130.5,2,0,2018-07-18
1811,2,0,0,3,0,0,0,41,0,0,0,0,65.0,0,0,2018-11-24
1812,2,0,0,2,0,0,1,156,1,0,0,0,118.8,1,1,2018-07-27
1813,2,0,0,2,0,0,0,80,0,0,0,0,65.0,0,0,2018-12-09
1814,2,0,2,2,0,0,0,208,1,0,0,0,99.45,1,1,2018-07-30
1815,2,0,2,1,0,0,1,155,1,0,0,0,119.07,1,1,2018-10-02
1816,2,0,0,1,0,0,0,160,1,0,0,0,105.3,1,1,2018-07-27
1817,2,0,0,3,0,0,1,103,1,0,0,0,99.3,0,0,2018-04-26
1818,2,0,0,2,0,0,0,1,2,0,0,0,185.0,0,0,2017-09-30
1819,2,0,1,2,0,0,0,12,0,0,0,0,140.0,0,0,2018-11-07
1820,2,0,0,3,0,0,0,72,0,0,0,0,75.0,0,0,2018-12-08
1821,2,0,0,1,0,0,0,27,0,0,0,0,120.0,0,0,2018-06-20
1822,2,0,1,3,0,0,0,79,0,0,0,0,38.67,0,0,2018-03-24
1823,2,0,0,3,1,0,0,155,1,0,0,0,103.5,0,1,2018-07-07
1824,2,0,2,2,1,0,0,18,1,0,0,0,63.2,0,1,2018-02-27
1825,2,0,2,3,0,0,0,200,0,0,0,0,76.5,1,0,2018-08-22
1826,1,0,2,2,1,0,0,156,1,0,0,0,75.6,0,1,2018-07-16
1827,2,0,0,3,0,0,0,322,0,0,0,0,80.0,0,1,2018-05-19
1828,2,0,2,3,0,0,0,171,1,0,0,0,99.45,0,0,2018-08-05
1829,2,0,0,3,0,0,0,188,0,0,0,0,72.25,0,1,2018-08-02
1830,2,0,2,2,0,0,0,101,1,0,0,0,88.4,0,1,2018-12-23
1831,3,0,0,1,0,0,0,21,1,0,0,0,187.0,2,0,2018-05-25
1832,3,0,0,4,0,0,1,6,1,0,0,0,127.0,1,0,2018-02-03
1833,1,0,0,2,0,0,0,8,2,1,0,6,65.0,0,0,2018-09-26
1834,2,0,1,5,0,0,1,123,1,0,0,0,110.33,0,0,2018-04-23
1835,3,0,0,1,0,0,1,32,1,0,0,0,154.0,0,1,2018-09-27
1836,2,0,1,0,0,1,1,47,1,0,0,0,115.2,1,0,2018-09-22
1837,1,0,1,2,0,0,0,188,0,0,0,0,130.0,0,1,2018-05-15
1838,2,1,1,1,0,0,0,162,1,0,0,0,121.5,0,1,2018-07-23
1839,2,0,0,3,2,0,0,71,0,0,0,0,126.0,0,0,2018-05-10
1840,2,0,2,3,0,0,0,190,0,0,0,0,59.16,0,0,2018-12-04
1841,2,0,2,1,0,0,0,44,0,0,0,0,95.0,0,0,2018-04-23
1842,2,2,0,1,0,0,3,20,1,0,0,0,231.0,1,1,2018-08-11
1843,2,0,2,2,0,0,0,117,1,0,0,0,95.2,1,0,2018-04-29
1844,2,0,0,2,0,0,0,24,0,0,0,0,55.0,0,0,2017-12-04
1845,2,0,0,1,0,0,0,6,4,1,1,8,0.0,1,0,2018-06-21
1846,2,0,0,3,0,0,0,166,0,0,0,0,100.0,0,1,2018-11-01
1847,2,0,1,4,0,0,0,110,0,0,0,0,70.0,0,0,2017-12-09
1848,2,2,2,5,0,0,3,19,1,0,0,0,234.71,2,1,2018-09-18
1849,2,0,2,3,0,0,0,166,1,0,0,0,61.25,0,1,2018-11-04
1850,1,0,2,3,0,0,0,117,0,0,0,0,110.0,0,0,2018-06-05
1851,2,0,2,1,0,0,2,35,1,0,0,0,81.9,0,1,2018-03-06
1852,1,0,0,2,0,0,0,11,1,0,0,0,130.0,0,1,2018-11-05
1853,2,0,1,0,0,0,0,125,1,0,0,0,114.3,0,1,2018-08-20
1854,1,0,0,2,0,0,0,164,0,0,0,0,100.0,0,0,2017-12-02
1855,2,0,2,1,1,0,0,197,1,0,0,0,116.1,0,1,2018-09-15
1856,2,0,0,1,0,0,0,197,1,0,0,0,112.0,0,1,2018-08-18
1857,2,0,2,3,2,0,1,103,1,0,0,0,137.7,0,1,2018-07-14
1858,2,1,0,2,0,0,1,53,1,0,0,0,152.1,1,0,2018-08-19
1859,1,0,0,1,0,1,0,44,1,1,0,2,95.4,0,0,2018-12-05
1860,2,0,0,1,0,0,0,56,0,0,0,0,85.5,0,0,2018-09-26
1861,3,0,2,3,0,0,1,160,1,0,0,0,141.18,0,1,2018-07-07
1862,2,0,1,3,0,0,1,22,0,0,0,0,75.0,0,0,2017-10-21
1863,2,0,0,4,0,0,1,20,1,0,0,0,91.25,2,0,2018-01-30
1864,2,0,3,7,0,0,0,30,1,0,0,0,144.9,2,0,2018-08-14
1865,3,0,1,1,0,0,1,204,1,0,0,0,168.3,1,1,2018-09-12
1866,2,0,2,4,1,0,0,262,1,0,0,0,63.75,0,1,2018-12-20
1867,2,0,0,3,0,0,1,62,1,0,0,0,118.8,1,0,2018-04-26
1868,2,2,2,4,0,0,3,32,1,0,0,0,8.67,0,1,2018-02-20
1869,2,0,0,4,0,0,1,127,1,0,0,0,94.78,2,0,2018-05-04
1870,1,0,0,2,2,0,0,377,0,0,0,0,90.0,0,0,2018-10-14
1871,1,0,0,3,0,0,1,62,1,0,0,0,110.08,1,0,2018-04-24
1872,2,0,1,3,1,0,0,63,1,0,0,0,63.75,1,0,2018-03-09
1873,2,1,1,2,0,0,0,156,1,0,0,0,121.5,0,1,2018-07-25
1874,3,0,2,1,0,0,1,169,1,0,0,0,137.7,1,1,2018-07-19
1875,2,2,1,1,0,0,3,52,1,0,0,0,198.9,0,1,2018-05-26
1876,3,0,1,2,0,0,0,81,0,0,0,0,103.5,0,0,2018-12-05
1877,2,0,2,1,0,0,0,80,0,0,0,0,75.0,0,0,2018-11-13
1878,3,0,1,3,0,0,1,81,1,0,0,0,151.2,2,1,2018-10-10
1879,2,0,0,2,0,0,0,151,0,0,0,0,80.0,0,0,2018-01-19
1880,2,0,1,2,0,0,0,86,0,0,0,0,89.75,0,0,2018-10-16
1881,2,0,1,2,0,0,0,185,1,0,0,0,81.77,2,0,2018-04-04
1882,1,0,2,4,0,0,0,151,0,0,0,0,71.0,0,1,2018-01-23
1883,2,1,1,1,0,0,0,124,1,0,0,0,134.1,0,1,2018-08-08
1884,1,0,2,1,0,0,0,68,1,0,0,0,79.2,1,0,2018-11-24
1885,2,0,1,1,0,0,0,210,0,0,0,0,72.75,0,0,2017-10-08
1886,3,0,1,3,0,0,0,89,1,0,0,0,143.7,2,0,2018-06-27
1887,2,0,1,4,0,0,0,49,0,0,0,0,71.0,0,0,2018-12-30
1888,1,0,0,2,0,0,0,263,0,0,0,0,110.0,0,1,2018-07-21
1889,1,3,1,3,0,0,3,81,1,0,0,0,187.85,0,0,2018-05-16
1890,2,0,0,4,0,0,0,129,1,0,0,0,114.3,1,1,2018-08-03
1891,2,0,0,3,1,0,0,98,0,0,0,0,71.4,0,0,2017-09-08
1892,2,0,0,1,0,0,0,175,1,0,0,0,85.5,2,0,2017-07-23
1893,3,0,2,1,0,0,1,35,1,0,0,0,159.3,0,1,2018-04-02
1894,3,0,0,2,0,0,1,5,1,0,0,0,187.0,2,0,2018-07-01
1895,1,0,1,2,0,0,0,106,1,0,0,0,113.4,2,0,2018-10-07
1896,2,1,0,2,0,0,0,2,1,0,0,0,163.5,0,0,2018-07-01
1897,2,0,0,1,0,0,2,181,1,0,0,0,76.5,2,1,2017-08-13
1898,1,0,0,2,0,0,0,53,0,0,0,0,75.0,0,0,2018-11-18
1899,2,0,1,3,0,0,0,205,1,0,0,0,90.95,1,0,2018-08-22
1900,2,0,0,3,0,0,0,250,1,0,0,0,96.3,1,1,2018-10-20
1901,2,0,1,1,0,0,0,160,1,0,0,0,105.3,0,1,2018-07-25
1902,2,0,2,3,1,0,0,56,1,0,0,0,63.75,0,1,2018-03-21
1903,2,0,0,1,0,0,1,274,1,0,0,0,115.2,1,1,2018-07-27
1904,3,0,2,3,0,0,5,65,1,0,0,0,185.57,1,0,2018-07-21
1905,2,0,1,1,0,0,0,40,0,0,0,0,76.16,0,0,2018-06-26
1906,2,0,1,3,0,0,0,135,0,0,0,0,90.0,0,0,2017-09-14
1907,3,0,1,2,0,0,1,106,1,0,0,0,140.0,1,0,2018-12-29
1908,2,0,2,1,1,0,0,320,1,0,0,0,94.95,1,0,2018-08-20
1909,1,0,2,1,0,0,0,2,4,1,0,3,0.0,1,0,2018-04-10
1910,2,0,2,2,0,0,0,119,1,0,0,0,82.87,1,0,2017-07-24
1911,2,0,0,1,0,0,1,80,1,0,0,0,149.4,0,1,2018-09-16
1912,2,1,1,1,0,0,0,56,1,0,0,0,152.1,1,0,2018-08-05
1913,1,0,0,2,0,0,0,19,0,0,0,0,90.0,0,1,2018-06-22
1914,1,0,0,2,0,0,0,163,0,0,0,0,100.0,0,0,2018-10-14
1915,3,0,0,1,0,0,1,81,1,0,0,0,128.0,3,0,2018-03-23
1916,1,1,0,1,0,0,0,10,1,0,0,0,120.0,1,0,2017-08-18
1917,2,0,2,2,0,0,0,87,0,0,0,0,75.0,0,0,2018-12-11
1918,2,0,2,1,0,0,0,44,0,0,0,0,75.0,0,0,2018-04-23
1919,2,2,0,1,0,0,3,77,1,0,0,0,198.9,2,0,2018-05-24
1920,2,0,1,1,2,0,2,301,0,0,0,0,115.0,1,1,2018-07-30
1921,2,0,2,2,2,0,0,275,0,0,0,0,110.0,0,1,2018-04-17
1922,2,0,2,5,0,0,0,178,1,0,0,0,99.45,1,0,2018-08-03
1923,2,0,0,1,0,1,1,4,1,0,0,0,166.0,2,0,2018-07-23
1924,2,0,1,2,0,0,0,4,0,0,0,0,65.0,0,0,2017-11-04
1925,2,0,0,1,1,0,0,115,1,0,0,0,96.33,1,0,2018-09-23
1926,3,0,1,1,0,0,1,60,1,0,0,0,159.3,0,1,2018-09-29
1927,2,1,0,1,0,0,0,2,1,0,0,0,120.0,2,0,2018-08-02
1928,2,2,2,0,0,0,3,53,1,0,0,0,177.3,0,1,2018-04-02
1929,2,0,2,5,0,0,0,122,1,0,0,0,66.53,0,0,2018-12-04
1930,2,0,2,4,1,0,0,99,1,0,0,0,103.5,0,1,2018-07-03
1931,2,0,2,5,0,0,0,41,0,0,0,0,69.29,0,0,2018-12-02
1932,2,0,0,3,1,0,0,1,1,0,0,0,177.33,1,0,2017-09-22
1933,2,0,2,3,2,0,0,150,0,0,0,0,90.0,0,0,2018-06-16
1934,2,0,1,0,0,0,0,349,0,0,0,0,80.0,0,0,2018-10-04
1935,2,0,1,2,0,0,0,24,0,0,0,0,48.67,0,0,2018-02-12
1936,2,0,0,3,0,0,1,44,0,0,0,0,75.0,0,0,2017-10-17
1937,1,1,0,1,1,0,0,1,0,0,0,0,71.2,1,0,2018-04-18
1938,2,0,0,1,2,0,1,3,4,0,0,0,0.0,1,0,2018-05-24
1939,2,0,1,5,0,0,1,69,1,0,0,0,162.4,2,0,2017-09-28
1940,2,0,2,1,0,0,0,23,0,0,0,0,85.0,0,1,2018-10-14
1941,2,0,2,3,0,0,0,256,0,0,0,0,100.75,1,1,2018-10-16
1942,2,0,2,2,0,0,0,105,0,0,0,0,75.0,0,1,2018-04-06
1943,2,0,0,2,0,0,1,68,1,0,0,0,132.3,1,1,2018-10-18
1944,3,0,0,2,0,0,1,32,1,0,0,0,168.3,2,0,2018-08-15
1945,2,1,0,1,0,0,0,159,1,0,0,0,127.8,0,1,2018-07-30
1946,1,0,0,3,0,0,0,151,0,0,0,0,80.0,0,0,2018-01-19
1947,2,0,1,2,1,0,0,217,1,0,0,0,102.85,1,1,2018-10-18
1948,2,0,2,3,0,0,0,76,0,0,0,0,80.75,0,0,2018-05-10
1949,1,0,2,3,0,0,1,56,1,0,0,0,74.8,1,0,2018-03-03
1950,2,0,0,3,0,0,0,19,0,1,1,0,90.0,0,0,2017-10-06
1951,1,0,0,2,0,0,0,181,0,0,0,0,120.0,0,1,2018-10-14
1952,2,0,1,3,0,0,0,210,1,0,0,0,90.95,1,1,2018-08-08
1953,2,0,0,1,2,0,0,48,0,0,0,0,104.0,0,0,2017-09-11
1954,2,0,1,1,0,0,0,155,1,0,0,0,105.3,0,1,2018-07-27
1955,3,0,2,2,0,0,1,86,1,0,0,0,146.6,2,0,2018-11-06
1956,2,0,0,2,0,0,0,125,1,0,0,0,72.25,1,0,2017-12-11
1957,2,0,2,3,0,0,1,98,1,0,0,0,149.4,0,1,2018-09-08
1958,1,0,0,3,0,0,0,13,0,0,0,0,90.0,0,0,2018-06-20
1959,2,0,2,1,0,0,0,44,0,0,0,0,75.0,0,0,2018-11-20
1960,2,0,1,4,1,0,1,30,1,0,0,0,105.75,1,0,2017-12-14
1961,2,0,1,2,0,0,0,224,0,0,0,0,65.0,0,0,2017-10-10
1962,2,0,2,3,0,0,0,25,0,0,0,0,65.0,0,0,2017-09-22
1963,3,0,1,2,0,0,0,24,0,0,0,0,115.0,1,0,2018-02-22
1964,1,0,2,3,0,0,0,45,1,0,0,0,112.5,0,0,2018-04-24
1965,2,1,2,2,0,0,4,69,0,0,0,0,110.5,0,0,2018-04-21
1966,2,0,2,1,0,0,0,48,0,0,0,0,85.5,0,0,2018-10-09
1967,1,0,2,0,2,0,0,386,0,0,0,0,90.0,0,1,2018-10-23
1968,2,0,2,1,0,0,3,10,1,0,0,0,136.0,0,0,2017-10-03
1969,1,0,1,0,0,0,0,4,2,1,0,2,65.0,1,0,2018-11-28
1970,1,0,2,3,0,0,1,81,1,0,0,0,146.6,0,0,2018-11-06
1971,2,0,2,1,1,0,0,131,1,0,0,0,94.5,1,0,2018-05-15
1972,2,0,0,1,0,0,0,128,1,0,0,0,99.9,2,0,2018-05-12
1973,2,0,1,4,0,0,0,97,0,0,0,0,80.75,0,0,2018-10-16
1974,2,0,2,0,0,0,1,131,1,0,0,0,103.5,0,0,2018-12-04
1975,2,0,0,1,1,0,0,124,1,0,0,0,118.8,0,1,2018-09-08
1976,2,0,1,5,0,0,0,46,0,0,0,0,70.0,0,0,2018-12-04
1977,2,0,2,2,0,0,0,208,1,0,0,0,90.95,1,0,2018-12-23
1978,2,0,0,3,0,0,1,111,1,0,0,0,123.67,1,0,2018-11-03
1979,2,0,0,4,0,0,0,245,1,0,0,0,110.8,0,1,2018-12-27
1980,2,0,1,1,0,0,0,172,0,0,0,0,80.75,0,0,2018-09-23
1981,1,0,0,1,0,0,1,14,1,0,0,0,130.0,1,1,2018-11-18
1982,3,0,1,2,0,0,0,1,0,0,0,0,86.43,0,0,2018-12-05
1983,2,0,2,5,0,0,0,166,0,0,0,0,72.25,0,1,2018-07-30
1984,2,0,2,4,0,0,2,292,0,0,0,0,163.63,0,1,2018-07-23
1985,2,0,2,1,0,0,0,140,1,0,0,0,76.5,1,0,2017-08-07
1986,2,0,0,1,2,0,0,1,0,0,0,0,108.0,0,0,2018-10-13
1987,2,0,1,2,0,0,0,11,1,0,0,0,200.0,2,0,2018-11-07
1988,2,0,1,2,0,0,1,99,1,0,0,0,132.6,1,0,2018-05-03
1989,3,0,2,3,0,0,1,13,1,0,0,0,127.0,1,0,2018-02-26
1990,2,0,1,2,0,0,0,141,0,0,0,0,75.0,0,1,2018-06-03
1991,1,0,2,0,2,0,0,61,0,0,0,0,91.0,0,0,2017-10-04
1992,2,0,0,2,2,0,0,6,1,0,0,0,0.0,0,0,2018-12-10
1993,1,0,0,4,0,0,0,37,1,0,0,0,74.8,1,0,2018-12-14
1994,1,0,1,1,0,0,0,0,4,1,0,1,6.0,0,0,2017-10-12
1995,2,0,0,3,0,0,0,122,1,0,0,0,105.3,0,1,2018-05-14
1996,2,0,2,5,0,0,1,126,1,0,0,0,107.95,1,0,2018-07-01
1997,2,0,0,3,0,0,0,122,1,0,0,0,116.1,0,1,2018-06-09
1998,2,0,2,2,1,1,0,162,1,0,0,0,96.13,1,1,2018-07-20
1999,1,0,0,3,0,0,0,162,0,0,0,0,70.0,0,0,2018-09-17
2000,2,0,0,4,0,0,2,232,1,0,0,0,81.82,1,0,2018-07-17
2001,2,2,2,1,0,0,3,209,1,0,0,0,168.3,1,1,2018-07-17
2002,1,0,1,1,2,0,0,3,0,0,0,0,77.0,0,0,2018-09-26
2003,1,0,1,1,0,0,0,111,0,0,0,0,120.0,0,0,2018-10-10
2004,2,0,0,1,1,0,0,181,1,0,0,0,98.1,1,1,2018-10-21
2005,2,1,2,3,0,0,0,4,1,0,0,0,149.0,2,0,2018-03-25
2006,1,0,0,2,0,0,0,28,2,0,0,0,95.0,0,1,2018-05-19
2007,2,0,1,3,0,0,0,232,1,0,0,0,100.3,2,1,2018-09-12
2008,2,0,2,1,0,0,2,1,1,1,0,1,103.0,0,0,2018-03-06
2009,2,0,1,4,0,0,0,275,1,0,0,0,90.0,0,1,2018-10-16
2010,2,0,0,3,1,0,0,34,1,0,0,0,224.67,0,1,2018-09-23
2011,3,0,0,2,0,0,1,6,1,0,0,0,140.0,0,0,2018-12-30
2012,2,0,0,1,0,0,1,8,4,0,0,0,0.0,0,0,2017-10-19
2013,2,0,2,3,0,0,0,122,1,0,0,0,99.45,1,0,2018-05-15
2014,1,0,0,2,0,0,4,4,2,0,0,0,170.63,0,0,2018-08-06
2015,1,0,0,1,0,0,2,0,4,0,0,0,0.0,2,0,2018-07-27
2016,2,0,2,2,0,0,1,75,1,0,0,0,90.95,1,0,2018-04-11
2017,2,0,0,1,0,0,0,181,1,0,0,0,120.0,1,1,2018-10-11
2018,1,0,1,3,0,0,0,124,1,0,0,0,99.45,0,0,2018-05-02
2019,2,0,2,5,2,0,0,277,0,0,0,0,89.14,0,1,2018-08-20
2020,2,2,1,5,0,0,3,59,1,0,0,0,177.93,0,1,2018-04-16
2021,2,0,2,4,0,0,1,169,1,0,0,0,123.25,0,1,2018-05-25
2022,2,0,2,1,0,0,2,3,1,0,0,0,96.5,1,0,2017-11-05
2023,2,0,0,4,0,0,0,78,0,0,0,0,80.75,0,0,2018-04-13
2024,2,0,1,3,0,0,0,125,1,0,0,0,114.3,0,1,2018-08-08
2025,1,0,0,2,0,0,0,114,0,0,0,0,75.0,0,0,2018-07-01
2026,2,0,0,3,0,0,0,17,0,0,0,0,44.33,0,0,2018-02-05
2027,1,0,1,2,0,0,0,66,0,0,0,0,75.0,0,0,2017-10-09
2028,2,0,1,4,0,0,1,94,1,0,0,0,131.4,1,1,2018-08-22
2029,2,0,2,0,0,0,0,275,1,0,0,0,90.0,0,1,2018-10-05
2030,1,0,1,2,0,0,0,89,1,0,0,0,80.75,2,0,2017-09-01
2031,2,0,2,3,0,0,0,116,1,0,0,0,104.85,0,0,2018-10-30
2032,2,0,2,5,1,0,0,170,1,0,0,0,95.63,0,1,2018-09-02
2033,1,0,1,2,2,0,0,39,0,0,0,0,87.0,0,0,2018-08-14
2034,2,0,2,2,0,0,1,66,1,0,0,0,87.32,0,0,2018-03-20
2035,2,0,2,2,0,0,0,278,1,0,0,0,84.15,0,0,2018-12-23
2036,2,0,1,2,0,0,0,119,1,0,0,0,128.85,0,0,2018-06-15
2037,2,0,0,5,0,0,0,230,1,0,0,0,137.0,0,1,2018-09-06
